8501,10,Aktuell,Allgemeines,Commodore Gestern Heute Morgen
8501,16,Hardware-Tests,Computer,Generationswechsel: Test C 16
8501,23,Hardware-Tests,Interface,Hardware-Interface ganz weich: Test EC 64
8501,24,Hardware-Tests,Grafik,Digitalbilder m. d. C 64: PrintTechnik Digitizer
8501,26,Hardware-Tests,Speicher,Speichertuning VC 20: Test 64kByte Karte
8501,28,Software-Tests,Basic-Erweiterung,Gbasic – Alles drin
8501,32,Software-Grundlagen,Assembler,Assembler? Assembler (Einführung)
8501,34,Software-Tests,Assembler,"Assembler im Test, Teil 1"
8501,40,Hardware-Tests,Drucker,MPS 803 – ein Drucker für alle Gelegenheiten?
8501,40,Software-Tests,Lernen,Softlearning – die weiche Welle des Lernens
8501,43,Kurse,Sprachen,Basic ist out – es lebe Forth
8501,47,Spiele-Tests,Abenteuer,The Quest – mit C 64 auf Suche nach Drachen
8501,48,Spiele-Tests,Geschicklichkeit,Tom + Zaga
8501,50,Listings zum Abtippen,Grafik,Hi-Eddi : Zeichen- und Malprogramm (LdM)
8501,52,Listings zum Abtippen,Anwendungen,Der C 64 als Hanballtrainer (AdM)
8501,69,Listings zum Abtippen,Anwendungen,SMON Teil 3: Ohne gutes Werkzeug geht es nicht
8501,76,Listings zum Abtippen,Grafik,Vier Pseudo-VICs mit 32 Sprites
8501,82,Listings zum Abtippen,Floppy,Hypra Load mal 4
8501,87,Listings zum Abtippen,Transfer,Der C 64 als PET: Pet-Simulator
8501,88,Listings zum Abtippen,Tips & Tricks,Parameterübergabe an Maschinenprogramme
8501,89,Listings zum Abtippen,Tips & Tricks,Große Buchstaben
8501,90,Abenteuerlösungen,Lösungen,Dallas Quest Lösung
8501,90,Listings zum Abtippen,Tips & Tricks,Restore für Unterprogramme
8501,122,Kurse,Effektives Programmieren,"Effektives Programmieren (Teil 1): Müllabfuhr im Computer: Die Garbage Collection"
8501,126,Kurse,Speicher,"Memory Map mit Wandervorschlägen (Teil 3)"
8501,130,Kurse,VC 20,"Der gläserne VC 20 (Teil 4)"
8501,136,Kurse,Musik,"Dem Klang auf der Spur (Teil 2)"
8501,142,Kurse,Assembler,"Assembler ist keine Alchimie (Teil 5)"
8501,148,Kurse,Floppy,"In die Geheimnisse der Floppy eingetaucht (Teil 4)"
8501,156,Listings zum Abtippen,Unterprogramme,Formatierte Eingaben
