Hardware Tips&Tricks,Midi,Midi-Interface im Selbstbau,13,149,,
Hardware Tips&Tricks,Monitor,Ein Monitor ist genug,1/86,29,,
Hardware Tips&Tricks,Paßwort,Computer-Benutzung nur mit Passwort,13,134,,
Hardware Tips&Tricks,RAM-Erweiterung,40KByte RAM für die 1541,13,124,,
Hardware Tips&Tricks,Resetschalter,Reset-Schalter für Computer,13,128,,
Hardware-Grundlagen,C128,Das ist der C128,1/86,96,,
Hardware-Grundlagen,C128,Rundgang durch die Hardware des C128,1/86,6,,
Hardware-Grundlagen,C16 ,Das ist der C16,2/86,26,,
Hardware-Grundlagen,C64,Die Ports des C64,5/86,20,,
Hardware-Grundlagen,C64,Speicherlandschaft,5/86,6,,
Hardware-Grundlagen,Computer,Drei „ungleiche“ Brüder,8/86,56,,
Hardware-Grundlagen,Computer,Ein-Chip-Mikrocomputer für den Hausgebrauch,13,58,,
Hardware-Grundlagen,Drucker,Drucken ohne Rätsel,5/86,114,,
Hardware-Grundlagen,Drucker,Ohne Drucker geht es nicht,5/86,30,,
Hardware-Grundlagen,Elektronik,Elektronische Bauelemente in Theorie,13,23,,
Hardware-Grundlagen,EPROM,EPROM-Platine mit 256KByte,13,111,,
Hardware-Grundlagen,Floppy,C16 und Diskette,3/86,49,,
Hardware-Grundlagen,Floppy,Der Massenspeicher mit Intelligenz,5/86,24,,
Hardware-Grundlagen,Joystick,Wie kommt die Bewegung vom Joystick?,5/86,28,,
Hardware-Grundlagen,Löten,"Löten, aber wie?",13,16,,
Hardware-Grundlagen,Midi,Midi – Wie von Geisterhand,11,125,,
Hardware-Grundlagen,Monitor,Kabelsalat,1/86,26,,
Hardware-Grundlagen,Monitor,Monitor oder Fernseher,5/86,17,,
Hardware-Grundlagen,MSR,Der Alleskönner,13,83,,
Hardware-Grundlagen,MSR,Digital-Analog- und Analog-Digital-Wandler,13,49,,
Hardware-Grundlagen,MSR,Frequenzmesser mit dem C64,13,103,,
Hardware-Grundlagen,MSR,Universeller TTL-IC-Tester,13,95,,
Hardware-Grundlagen,Platinenherstellung,So stellt man Platinen her,13,11,,
Hardware-Grundlagen,Platinenherstellung,Testplatinen für den Hobby-Bastler,13,21,,
Hardware-Grundlagen,Porteingänge,Der heiße Draht nach draussen,8/86,92,,
Hardware-Grundlagen,Werkzeug,Unentbehrliches für Hobby-Elektroniker,13,8,,
Hardware-Test,1541,Rush hour für CP/M auf dem 1541-Laufwerk,1/86,22,,
Hardware-Test,C128,Formel C für den C128,10,20,,
Hardware-Test,C128,Welche Floppy für den C128?,1/86,18,,
Hardware-Test,C128D,Der C128 D im ersten Test,1/86,16,,
Hardware-Test,C64,Der etwas andere C64,1/86,94,,
Hardware-Test,Drucker,Drucker für C16,3/86,43,,
Hardware-Test,Floppy,Die Speicherriesen,9,6,,
Hardware-Test,Floppy,Wettlauf mit der Zeit,9,13,,
Hardware-Test,Monitor,Kein Bild ohne Monitor,1/86,23,,
Hardware-Test,Speichererweiterung,60671 Bytes free beim C16,3/86,42,,
Software-Tips,Anwendungen,"Druckeranpassung für Wordstar 3.0, dBase",10,101,,
Software-Tips,Assembler,Ein besonderer Disassembler,1/85,18,,
Software-Tips,Datei,Arbeiten mit dBase II,9,79,,
Software-Tips,Pascal 64,Pascal 64 – Nicht nur für Einsteiger,12,33,,
Software-Tips,Sprachen,Turbo-Pascal-Utility der Spitzenklassen,10,105,,
Software-Tips,Utilities,17 Superutilities für den C64,1/85,22,,
Software-Grundlagen,Anwendung,"Befehlserweiterungen, die jedem helfen",5/86,130,,
Software-Grundlagen,Anwendung,Das Computerbüro,5/86,120,,
Software-Grundlagen,Anwendung,Dateiverwaltung für Einsteiger,5/86,101,,
Software-Grundlagen,Assembler,Befehlssatz des 6510,8/85,172,,
Software-Grundlagen,Assembler,Durchblick mit dem TEDMON,10,28,,
Software-Grundlagen,Assembler,Kochrezepte: Kernel-Routinen für jeden,10,141,,
Software-Grundlagen,Assembler,Maschinensprache mit dem C16,3/86,14,,
Software-Grundlagen,Assembler,Rechnen in Maschinensprache,7/86,86,,
Software-Grundlagen,Assembler,ROM-Routinen in eigenen Programmen,8/85,178,,
Software-Grundlagen,Assembler,Schnell FILL-Routine in Maschinensprache,12,96,,
Software-Grundlagen,Assemblerkurs,Assembler ist keine Alchemie,8/85,4,,
Software-Grundlagen,Assemblerkurs,Effektives Programmieren in Assembler,8/85,74,,
Software-Grundlagen,Basic 7.0,Basic 7.0 – das starke Basic des C128,1/86,110,,
Software-Grundlagen,Basic 7.0,Basic 7.0 – Programme mit Struktur,1/86,118,,
Software-Grundlagen,Basic-Optimierung,So macht man Programme schneller,2/86,44,,
Software-Grundlagen,C16/VC20,Den C16 und VC20 durchschaut,3/86,31,,
Software-Grundlagen,CP/M,Für jeden etwas: Programmiersprachen,12,60,,
Software-Grundlagen,CP/M,Was ist CP/M?,10,91,,
Software-Grundlagen,Datasette,Daten verwalten mit der Datasette,3/86,6,,
Software-Grundlagen,Dateien,Dateiverwaltung mit dem C16 in Maschine,8/86,79,,
Software-Grundlagen,Dateien,Grundlagen der Dateiverwaltung,9,25,,
Software-Grundlagen,Dateien,Relative Dateien leicht verständlich,2/86,53,,
Software-Grundlagen,Dateien,Verwalten wie die Profis,9,64,,
Software-Grundlagen,Drucker,Hardcopy für Ihren Drucker,4/85,115,,
Software-Grundlagen,Floppy,In die Geheimnisse der Floppy,9,30,,
Software-Grundlagen,Grafik,"Alles, was Sie schon immer über Sprites wissen sollten",2/86,58,,
Software-Grundlagen,Grafik,Der leichte Umgang mit Sprites,5/86,90,,
Software-Grundlagen,Grafik,Grafik und Sound mit dem C16,3/86,21,,
Software-Grundlagen,Grafik,Rezepte für Grafik-Diners,5/86,77,,
Software-Grundlagen,Grafik,Shapes auf dem C16,8/86,44,,
Software-Grundlagen,Grafik,Soft-Scrolling auf dem C64,4/85,110,,
Software-Grundlagen,Grafik,Sprites ohne Stress,4/85,112,,
