8406,78,Listings zum Abtippen|Grafik,Trickfilm,Movemaster (VC 20)
8406,82,Listings zum Abtippen|Grafik,Diagramme,Grafische Darstellung statt Zahlenfriedhof (SB)
8406,98,Listings zum Abtippen|Spiel,Simulation,Hot Wheels
8406,104,Listings zum Abtippen|Spiel,Action,Ghost Manor (VC 20)
8406,107,Listings zum Abtippen|Tips & Tricks,Module,Steckmodule auf Kassette (VC 20)
8406,108,Listings zum Abtippen|Tips & Tricks,Disassembler,Logic Disassembler (VC 20)
8406,114,Listings zum Abtippen|Tips & Tricks,Synthetische,Synthetische Steuerzeichen
8406,116,Listings zum Abtippen|Tips & Tricks,Reset,Reset für den VC 20
8406,117,Listings zum Abtippen|Tips & Tricks,Autostart,Der Trick mit dem Autostart
8406,118,Listings zum Abtippen|Tips & Tricks,Tips & Tricks,Tips & Tricks für den VC 20
8406,119,Listings zum Abtippen|Tips & Tricks,FRE,Veränderungen am 64-Basic
8406,120,Listings zum Abtippen|Spiel,Geschicklichkeit,In den Untergrund mit dem VC 20 (LdM)
8406,128,Kurse,Precompiler,Strubs — ein Precompiler für Basic-Programme (Teil 3)
8406,132,Kurse,Grafik,Reise durch die Wunderwelt der Grafik (Teil 3)
8406,138,So machen’s andere,Fotografie,Der VC 20 als Fotolehrling
8407,12,Hardware-Test,Schnittstellen,Centronics-Schnittstellen: Vergleichstest
8407,18,Hardware,Expansion,Expansions — Marktübersicht
8407,20,Software-Test,DFÜ,Teleterm — Die Verbindung zum Modem
8407,22,Software,DFÜ,Electronic Mail — dieneue Form der Postbeförderung
8407,24,Listings zum Abtippen|Anwendung,DFÜ,Terminalprogramm für den C 64
8407,24,Software,DFÜ,Terminalprogramm für den C 64
8407,27,Software,DFÜ,Begriffe aus der DFÜ
8407,28,Software,DFÜ,Wie bedient man eine Mailbox?
8407,33,Software,Sprachen,Forth — die etwas andere Programmiersprache
8407,36,Software,CP/M,CP/M-Software vom Apple auf den C 64
8407,40,Software,Sprachen,Pascal — leistungsfähiger und eleganter als Basic
8407,46,Software,Basic,Debugging — Fehlersuche in Basic-Programmen
8407,52,Listings zum Abtippen|Tips & Tricks,Transfer,Adressenvergleich VC 20-C 64
8407,52,Software,Adressenvergleich,Adressenvergleich VC 20-C 64
8407,58,Software,Grundlagen,Daten im (relativen) Direktzugriff
8407,62,Software-Test,Büro,Magic Desk — Bildschirm statt Schreibtisch
8407,65,Software-Test,Programmgenerator,Basic Bär — Ein Programmgenerator
8407,66,Software-Test,Sprachen,HES 64 Forth — komfortabler als Basic
8407,68,Spiele-Test,Action,Loderunner
8407,68,Spiele-Test,Action,Zaxxon
8407,69,Spiele-Test,Simulation,Flight II — fast wie richtiges Fliegen
8407,72,Listings zum Abtippen|Anwendung,Floppy,Der Softwarekatalog für Ihre Programme
8407,76,Listings zum Abtippen|Anwendung,Lernprogramme,Russische Vokabeln (nur auf Disk)
8407,80,Listings zum Abtippen|Spiel,Spielhalle,Crown No 1 (nur auf Disk)
8407,81,Listings zum Abtippen|Spiel,Arcade,Space Invader (nur auf Disk)
8407,82,Listings zum Abtippen|Anwendung,User-Port,Blumen gießen mit dem C 64 (AdM)
8407,85,Listings zum Abtippen|Anwendung,Strubs,Das erste Strubs-Listing (VC 20)
8407,108,Listings zum Abtippen|Grafik,Hardcopy,Hardcopy mit dem VC 1520
8407,110,Listings zum Abtippen|Tips & Tricks,Schnittstellen,Komfortables Treiberprogramm für Centronics-Drucker
8407,116,Listings zum Abtippen|Grafik,Funktionen,Kurvendiskussion in Hires-Grafik mit Hardcopy
8407,122,Listings zum Abtippen|Spiel,Denkspiel,Rätsel — ein Knobelprogramm (VC 20)
8407,124,Listings zum Abtippen|Spiel,Action,Croussaider (VC 20)
8407,131,Listings zum Abtippen|Tips & Tricks,SYS,Mehr über SYS
8407,132,Listings zum Abtippen|Tips & Tricks,Floppy,Kopierprogramm für relative Files
8407,135,Listings zum Abtippen|Tips & Tricks,Grafik,Vom Bildschirm auf Kassette/Diskette
8407,136,Listings zum Abtippen|Tips & Tricks,Synthetische,Synthetische Steuerzeichen (Teil 2)
8407,138,Listings zum Abtippen|Tips & Tricks,Autostart,Autostart in Theorie und Praxis
8407,142,Listings zum Abtippen|Spiel,Action,Q-Bernd (LdM)
8407,146,Kurse,Codes,"Alle Tasten-, Zeichen- und Steuercodes (Teil 3)"
8407,154,Kurse,Precompiler,Strubs — ein Precompiler für Basic-Programme (Teil 4)
8407,162,Kurse,Grafik,Reise durch die Wunderwelt der Grafik (Teil 4)
8407,170,So machen’s andere,Medizin,Computer bringen den Kreislauf in Schwung
8407,174,Wettbewerbe,Sprites,Das schönste Sprite – Auflösung
8408,10,Aktuell,Messen,Consumer Electronics Show in Chicago
8408,20,Hardware,Drucker,MPS 801 — Ein Erfahrungsbericht
8408,22,Hardware-Test,Sprachausgabe,Sprachausgabemit dem SDP 120
8408,24,Hardware,Reparatur,Geheimnissen auf der Spur: 1541 reparieren
8408,28,Hardware,DFÜ,Akustikkoppler und Modems: Marktübersicht
8408,30,Hardware,Bauanleitung,Commodore im neuen Kleid
8408,34,Listings zum Abtippen|Tips & Tricks,Reset,Resetschalter am C64
8408,34,Hardware,Bauanleitung,Resetschalter am C 64
8408,36,Hardware-Test,EPROM,EPROM-Brenner: Vergleichstest
8408,41,Software,Sprachen,Was ist Comal?
8408,44,Software-Test,Sprachen,Pascal — leistungsfähiger und eleganter als Basic (Teil 2)
8408,44,Software,Sprachen,Pascal — leistungsfähiger und eleganter als Basic
8408,50,Software-Test,Sprachen,Sechs Pascal-Versionen im Vergleich
8408,56,Software,Grafik,Neues vom Video-Chip beim VC 20
8408,63,Software,Grundlagen,Datenkreislauf: Die sequentielle Datenspeicherung
8408,66,Listings zum Abtippen|Spiel,Abenteuer,Castle of Doom — Adventure (LdM)
8408,68,Listings zum Abtippen|Anwendung,Finanzen,Abgerechnet wird mit dem C 64 (AdM)
8408,73,Listings zum Abtippen|Anwendung,User-Port,Kopplung über den User-Port (VC 20)
8408,77,Listings zum Abtippen|Anwendung,Floppy,Drucker/Floppy ein- oder ausgeschaltet?
8408,78,Listings zum Abtippen|Anwendung,User-Port,Analoger Meßwert rein — analoger Stellwert raus
8408,80,Listings zum Abtippen|Grafik,Funktionen,Kudiplo erfüllt Schülerträume (Kurvendiskussion auf dem VC 20)
8408,83,Listings zum Abtippen|Grafik,Hardcopy,Hardcopy für den Sieger (FX-80 mit Görlitz-Interface)
8408,86,Listings zum Abtippen|Spiel,Reaktion,Escape (VC 20)
8408,89,Listings zum Abtippen|Spiel,Pacman,Pac-Boy — die Herausforderung
8408,96,Listings zum Abtippen|Tips & Tricks,Transfer,Von den Kleinen auf die Großen (C 64 - CBM)
8408,97,Listings zum Abtippen|Tips & Tricks,User-Port,User-Port-Display
8408,98,Listings zum Abtippen|Tips & Tricks,Autostart,Autostart für den VC 20
8408,99,Listings zum Abtippen|Tips & Tricks,Floppy,ViewBAM
8408,101,Listings zum Abtippen|Tips & Tricks,Basic-Erweiterung,PRINT AT und RESTORE N (VC 20)
8408,102,Listings zum Abtippen|Tips & Tricks,Transfer,Die Software-Vielfalt der CBMs fur den C 64 nutzen
8408,114,Software-Test,Grafik,Elektronische Aquarelle: Paint Magic
8408,117,Software-Test,Datenbank,ISM 64 — ohne Fleiß kein Preis
8408,136,Spiele-Test,Sport,One on One
8408,137,Spiele-Test,Abenteuer,Gruds in Space
8408,138,Spiele-Test,Taktik,Summer Games — Los Angeles läßt grüßen
8408,142,Kurse,Grafik,Reise durch die Wunderwelt der Grafik (Teil 5)
8408,151,Kurse,Codes,"Alle Tasten-, Zeichen- und Steuercodes (Teil 4)"
8408,156,So machen’s andere,Landwirtschaft,Der Computer im Kuhstall
8409,8,Aktuell,Floppy,SFD 1002
8409,14,Software,Grundlagen,Tips für den Umgang mit Sinnbildern (Flußdiagrammen)
8409,16,Software,Tips,DOS 5.1 (Teil 2)
8409,20,Software,Grundlagen,Flußdiagramme
8409,21,Software-Test,Tabellenkalkulation,Calc Result — Dreidimensionale Kalkulation
8409,24,Software-Test,Musik,Gute Noten für gute Noten: Extendend Synthesizer System
8409,27,Software,Sprachen,Markübersicht der Musikprogramme
8409,28,Software-Test,Floppy,Quickcopy — das schnelle Kopierprogramm
8409,29,Software-Test,Musik,Musicalc — oder was wirkhch im C 64 steckt
8409,34,Software-Test,Textverarbeitung,Textomat — Büroanwendung zum kleinen Preis
8409,38,Software-Test,Musik,Synthimat — Das Piano für den Aktenkoffer
8409,42,Software-Test,Musik,Music-Composer — Komponieren leicht gemacht
8409,44,Aktuell,Musik,Musikneuigkeiten aus den USA — MIDI
8409,46,Hardware,Musik,MIDI — Glanz und Elend eines Interfaces
8409,54,Software,Grundlagen,Die index-sequentielle Datei
8409,58,Software,Musik,Hard und Soft: eine kleine Marktübersicht
8409,62,Software,Musik,Klangsynthese und Synthesizertechnik
8409,67,Software,Basic,Fehlersuche in Basic-Programmen (Teil 2)
8409,68,Listings zum Abtippen|Spiel,Generator,"Spring Vogel, spring (LdM)"
8409,70,Listings zum Abtippen|Anwendung,Musik,Die Musik macht der C 64: Elektronikorgel (AdM)
8409,77,Listings zum Abtippen|Spiel,Strategie,Schiebung (VC 20)
8409,78,Listings zum Abtippen|Anwendung,Maske,Bildschirmasken schnell erstellt
8409,79,Listings zum Abtippen|Anwendung,Zeichensatz,Deutscher Zeichensatz für den VC 20
8409,87,Listings zum Abtippen|Grafik,Hardcopy,1520-Hardcopy mit dem VC 20
8409,89,Listings zum Abtippen|Grafik,Sprites,Der Super-Sprite-Editor
8409,94,Listings zum Abtippen|Grafik,Befehlserweiterung,Screen Change
8409,97,Listings zum Abtippen|Tips & Tricks,Listing,Fehlersuche leicht gemacht: LIST-STOP
8409,98,Listings zum Abtippen|Tips & Tricks,Simons,Haben Sie deh Bogen raus? (ARC bei Simons Basic)
8409,100,Listings zum Abtippen|Tips & Tricks,Schnittstellen,Die RS232-Schnittstelle am VC 20
8409,102,Listings zum Abtippen|Tips & Tricks,Maschinensprache,DATA-Wandler
8409,102,Listings zum Abtippen|Tips & Tricks,Retten,Erste Hilfe für den C 64: RENEW
8409,103,Listings zum Abtippen|Tips & Tricks,Simons,Simons Basic: Befehle die nicht im Handbuch stehen
8409,104,Listings zum Abtippen|Tips & Tricks,Synthetische,Die Suche nach den Synthetischen
8409,105,Spiele-Test,Flipper,Slamball — der ellenlange Flipper
8409,106,Spiele-Test,Grundlagen,Fantasy-Spiele
8409,109,Spiele-Test,Arcade,Schnellboot — Rettung aus der grünen Hölle
8409,112,Hardware-Test,Interface,Das macht den Kleinen größer (64-KByte-Karten) (VC 20)
8409,114,Listings zum Abtippen|Anwendung,DFÜ,Mailboxprogramm für den C 64
8409,114,Hardware,Bauanleitung,Ihr Akustikkoppler wird zum Modem: Automodem
8409,114,Software,DFÜ,Mailboxprogramm für den C 64
8409,138,Kurse,Assembler,Assembler ist keine Alchimie (Teil 1)
8409,144,Kurse,Grafik,Reise durch die Wunderwelt der Grafik (Teil 6)
8409,155,Kurse,VC 20,Der gläserne VC 20 (Teil 1)
8409,162,Listings zum Abtippen|Anwendung,EPROM,Datenbrennerei: Wie programmiere ich EPROMs?
8409,162,Software,EPROM,Datenbrennerei: Wie programmiere ich EPROMs?
8409,164,So machen’s andere,Finanzen,Geregelter Zahlungsverkehr
8410,12,Aktuell,DFÜ,Kreatives Chaos (Interview mit dem CCC)
8410,20,Hardware-Test,80-Zeichenkarten,Mehr Übersicht am Bildschirm (VC 20)
8410,22,Hardware-Test,Drucker,Adcomp X100 — farbig plotten und drucken
8410,23,Hardware-Test,Drucker,Ein Drucker für alle Fälle: Epson FX-80
8410,24,Hardware-Test,Drucker,Brother HR-5C: fast nicht zu hören
8410,25,Hardware-Test,Drucker,Ein Star der es in sich hat (delta-10)
8410,26,Hardware-Test,Drucker,Seikoshas Größter: Test GP-550A
8410,27,Hardware-Test,Drucker,Roland DXY-101 — ein Flachbettplotter im DIN-A3-Format
8410,28,Hardware-Test,Drucker,Olympia electronic compact 2: Schreibmaschine für den C64
8410,29,Hardware,Drucker,Marktübersicht: Drucker (Teil 1)
8410,34,Spiele-Test,Abenteuer,Lösung von The Blade of Blackpool
8410,37,Spiele-Test,Abenteuer,House of Usher
8410,37,Spiele-Test,Arcade,Fire Galaxy (VC 20)
8410,43,Software-Test,Textverarbeitung,Vizawrite 64 — Der C 64 wird zum PC
8410,46,Software-Test,Finanzen,Lohnsteuerjahresausgleich leicht gemacht
8410,48,Software-Test,Floppy,Ex-DOS und Disk Doctor
8410,50,Software-Test,Sprachen,Forth ohne Floppy (C 64 und VC 20)
8410,59,Aktuell,DFÜ,Datex-P und ausländische Netzwerke
8410,59,Software,DFÜ,Datex-P und ausländische Netzwerke
8410,67,Listings zum Abtippen|Anwendung,Floppy,Hypra-Load: Schnelles Laden von Diskette (LdM)
8410,68,Listings zum Abtippen|Anwendung,Finanzen,Menügesteuerte Finanzmathematik (AdM)
